Enhanced Requirement ID,Base Requirement,Family,Requirement Title,Full Requirement Text,CMMC L3 Status,Linked L2 Control,Automation Hook,Implementation Statement,Maturity Target
3.1.3e,3.1.3,Access Control,Enhanced CUI Flow Control,"Employ approved authorizations for controlling the flow of CUI between designated sources and destinations (e.g., networks, individuals, and devices) within systems and between interconnected systems.",Not Met,3.1.3,Manual,Data flow diagrams and DLP policies not yet documented for all CUI boundaries.,Advanced
3.1.12e,3.1.12,Access Control,Enhanced Remote Access Monitoring,"Monitor and control remote access sessions; audit remote access sessions and remote access connections.",Not Met,3.1.12,log_aggregator,Remote session logging partially covered; dedicated VPN/ZTNA session audit trail incomplete.,Intermediate
3.5.3e,3.5.3,Identification and Authentication,Enhanced MFA for All Users,"Use multifactor authentication for local and network access to privileged accounts and for network access to non-privileged accounts (all users).",Met,3.5.3,config_drift,MFA enforced on 100% of human accounts per Sentinel config_drift collector.,Advanced
3.5.4e,3.5.4,Identification and Authentication,Enhanced Replay-Resistant Authentication,"Employ replay-resistant authentication mechanisms for network access to privileged and non-privileged accounts.",Not Met,3.5.4,config_drift,TLS and Kerberos replay protection assumed; explicit validation not automated.,Intermediate
3.11.3e,3.11.3,Risk Assessment,Enhanced Vulnerability Remediation,"Remediate vulnerabilities in accordance with risk assessments; prioritize remediation based on criticality and exploitability.",Not Met,3.11.3,Manual,Vulnerability scan integration planned for Sentinel v1.7; SLA-based remediation tracking pending.,Advanced
3.11.6e,3.11.2,Risk Assessment,Threat Hunting,"Conduct threat hunting activities to search for indicators of compromise and anomalous activity.",Not Met,3.11.2,log_aggregator,Log aggregation provides raw data; formal threat hunting program not established.,Advanced
3.13.4e,3.13.4,System and Communications Protection,Enhanced Shared Resource Protection,"Prevent unauthorized and unintended information transfer via shared system resources (enhanced isolation).",Not Met,3.13.4,config_drift,Container and VM isolation policies documented; runtime enforcement validation incomplete.,Advanced
3.13.6e,3.13.6,System and Communications Protection,Enhanced Deny-by-Default Networking,"Deny network communications traffic by default and allow by exception; document and review all permitted flows.",Not Met,3.13.6,config_drift,Security group drift detection active; full network flow documentation and quarterly review pending.,Advanced
3.13.8e,3.13.8,System and Communications Protection,Enhanced Cryptographic Protection in Transit,"Implement cryptographic mechanisms to prevent unauthorized disclosure of CUI during transmission (enhanced coverage).",Met,3.13.8,encryption_status; config_drift,TLS 1.2+ validated on all public endpoints; internal service mesh encryption on roadmap.,Advanced
3.14.2e,3.14.2,System and Information Integrity,Enhanced Malicious Code Protection,"Provide protection from malicious code at system entry and exit points; central management of anti-malware.",Not Met,3.14.2,Manual,Endpoint protection deployed; centralized EDR reporting not integrated with Sentinel.,Intermediate
3.14.6e,3.14.6,System and Information Integrity,Enhanced System Monitoring,"Monitor organizational systems for attack indicators; employ automated tools for continuous monitoring.",Met,3.14.6,log_aggregator,Continuous log monitoring with completeness checks; SIEM correlation rules under development.,Advanced
3.14.7e,3.14.7,System and Information Integrity,Enhanced Unauthorized Use Detection,"Identify unauthorized use of organizational systems through behavioral analytics and UEBA.",Met,3.14.7,log_aggregator,Audit log analysis detects anomalous access; UEBA platform evaluation in progress.,Advanced
