Requirement ID,Family,Requirement Title,Full Requirement Text,CMMC L2 Status,Evidence Strength,Linked SOC2 Control,Automation Hook,Implementation Statement,Owner
3.1.1,Access Control,Limit System Access,"Limit system access to authorized users, processes acting on behalf of authorized users, and devices (including other systems).",Met,Strong,CC6.1,iam_access_review,Quarterly IAM export validates authorized user inventory; orphaned accounts flagged for remediation.,Security Engineering
3.1.2,Access Control,Limit Transactions and Functions,Limit system access to the types of transactions and functions that authorized users are permitted to execute.,Not Met,Missing,,Manual,"Not yet implemented; requires policy, process, or technical control deployment.",
3.1.3,Access Control,Control CUI Flow,Control the flow of CUI in accordance with approved authorizations.,Not Met,Missing,,Manual,"Not yet implemented; requires policy, process, or technical control deployment.",
3.1.4,Access Control,Separation of Duties,Separate the duties of individuals to reduce the risk of malevolent activity without collusion.,Not Met,Missing,,Manual,"Not yet implemented; requires policy, process, or technical control deployment.",
3.1.5,Access Control,Least Privilege,"Employ the principle of least privilege, including for specific security functions and privileged accounts.",Met,Strong,CC6.3,iam_access_review,Privileged and standing admin accounts reviewed quarterly; least-privilege enforced via IAM policy analysis.,Security Engineering
3.1.6,Access Control,Non-Privileged Accounts for Nonsecurity Functions,Use non-privileged accounts or roles when accessing nonsecurity functions.,Not Met,Missing,,Manual,"Not yet implemented; requires policy, process, or technical control deployment.",
3.1.7,Access Control,Privileged Function Control,Prevent non-privileged users from executing privileged functions and capture the execution of such functions in audit logs.,Met,Strong,CC6.3,iam_access_review; log_aggregator,Privileged function execution captured in CloudTrail/admin audit logs; non-privileged role separation validated.,Security Engineering
3.1.8,Access Control,Unsuccessful Logon Attempts,Limit unsuccessful logon attempts.,Met,Strong,CC6.2,config_drift,Account lockout and failed-auth thresholds monitored via identity provider and IAM configuration drift checks.,Security Engineering
3.1.9,Access Control,Privacy and Security Notices,Provide privacy and security notices consistent with applicable CUI rules.,Not Met,Missing,,Manual,"Not yet implemented; requires policy, process, or technical control deployment.",
3.1.10,Access Control,Session Lock,Use session lock with pattern-hiding displays to prevent access and viewing of data after a period of inactivity.,Not Met,Missing,,Manual,"Not yet implemented; requires policy, process, or technical control deployment.",
3.1.11,Access Control,Session Termination,Terminate (automatically) a user session after a defined condition.,Not Met,Missing,,Manual,"Not yet implemented; requires policy, process, or technical control deployment.",
3.1.12,Access Control,Remote Access Session Control,Monitor and control remote access sessions.,Not Met,Missing,,Manual,"Not yet implemented; requires policy, process, or technical control deployment.",
3.1.13,Access Control,Cryptographic Protection of Remote Access,Employ cryptographic mechanisms to protect the confidentiality of remote access sessions.,Not Met,Missing,,Manual,"Not yet implemented; requires policy, process, or technical control deployment.",
3.1.14,Access Control,Managed Remote Access Points,Route remote access via managed access control points.,Not Met,Missing,,Manual,"Not yet implemented; requires policy, process, or technical control deployment.",
3.1.15,Access Control,Authorize Remote Privileged Commands,Authorize remote execution of privileged commands and remote access to security-relevant information.,Not Met,Missing,,Manual,"Not yet implemented; requires policy, process, or technical control deployment.",
3.1.16,Access Control,Authorize Wireless Access,Authorize wireless access prior to allowing such connections.,Not Met,Missing,,Manual,"Not yet implemented; requires policy, process, or technical control deployment.",
3.1.17,Access Control,Protect Wireless Access,Protect wireless access using authentication and encryption.,Not Met,Missing,,Manual,"Not yet implemented; requires policy, process, or technical control deployment.",
3.1.18,Access Control,Mobile Device Connection Control,Control connection of mobile devices.,Not Met,Missing,,Manual,"Not yet implemented; requires policy, process, or technical control deployment.",
3.1.19,Access Control,Encrypt CUI on Mobile Devices,Encrypt CUI on mobile devices and mobile computing platforms.,Not Met,Missing,,Manual,"Not yet implemented; requires policy, process, or technical control deployment.",
3.1.20,Access Control,External System Connections,Verify and control/limit connections to and use of external systems.,Not Met,Missing,,Manual,"Not yet implemented; requires policy, process, or technical control deployment.",
3.1.21,Access Control,Portable Storage on External Systems,Limit use of portable storage devices on external systems.,Not Met,Missing,,Manual,"Not yet implemented; requires policy, process, or technical control deployment.",
3.1.22,Access Control,Publicly Accessible Systems,Control CUI posted or processed on publicly accessible systems.,Not Met,Missing,,Manual,"Not yet implemented; requires policy, process, or technical control deployment.",
3.2.1,Awareness and Training,Security Awareness,"Ensure that managers, systems administrators, and users of organizational systems are made aware of the security risks associated with their activities and of the applicable policies, standards, and procedures related to the security of those systems.",Not Met,Missing,,Manual,"Not yet implemented; requires policy, process, or technical control deployment.",
3.2.2,Awareness and Training,Role-Based Training,Ensure that personnel are trained to carry out their assigned information security-related duties and responsibilities.,Not Met,Missing,,Manual,"Not yet implemented; requires policy, process, or technical control deployment.",
3.2.3,Awareness and Training,Insider Threat Awareness,Provide security awareness training on recognizing and reporting potential indicators of insider threat.,Not Met,Missing,,Manual,"Not yet implemented; requires policy, process, or technical control deployment.",
3.3.1,Audit and Accountability,Audit Log Creation and Retention,"Create and retain system audit logs and records to the extent needed to enable the monitoring, analysis, investigation, and reporting of unlawful or unauthorized system activity.",Met,Strong,CC7.1,log_aggregator,Centralized logging with completeness metrics; audit records retained per policy via log sink validation.,Security Engineering
3.3.2,Audit and Accountability,User Accountability,"Ensure that the actions of individual system users can be uniquely traced to those users, so they can be held accountable for their actions.",Met,Strong,CC7.1,log_aggregator,Unique user attribution verified through IAM identity linkage in audit log exports.,Security Engineering
3.3.3,Audit and Accountability,Review and Update Logged Events,Review and update logged events.,Not Met,Missing,,Manual,"Not yet implemented; requires policy, process, or technical control deployment.",
3.3.4,Audit and Accountability,Audit Logging Failure Alerts,Alert in the event of an audit logging process failure.,Not Met,Missing,,Manual,"Not yet implemented; requires policy, process, or technical control deployment.",
