Requirement ID,Family,Requirement Title,Full Requirement Text,CMMC L2 Status,Evidence Strength,Linked SOC2 Control,Automation Hook,Implementation Statement,Owner
3.1.1,Access Control,Limit System Access,"Limit system access to authorized users, processes acting on behalf of authorized users, and devices (including other systems).",Met,Strong,CC6.1,iam_access_review,Quarterly IAM export validates authorized user inventory; orphaned accounts flagged for remediation.,Security Engineering
3.1.5,Access Control,Least Privilege,"Employ the principle of least privilege, including for specific security functions and privileged accounts.",Met,Strong,CC6.3,iam_access_review,Privileged and standing admin accounts reviewed quarterly; least-privilege enforced via IAM policy analysis.,Security Engineering
3.1.7,Access Control,Privileged Function Control,Prevent non-privileged users from executing privileged functions and capture the execution of such functions in audit logs.,Met,Strong,CC6.3,iam_access_review; log_aggregator,Privileged function execution captured in CloudTrail/admin audit logs; non-privileged role separation validated.,Security Engineering
3.1.8,Access Control,Unsuccessful Logon Attempts,Limit unsuccessful logon attempts.,Met,Strong,CC6.2,config_drift,Account lockout and failed-auth thresholds monitored via identity provider and IAM configuration drift checks.,Security Engineering
3.3.1,Audit and Accountability,Audit Log Creation and Retention,"Create and retain system audit logs and records to the extent needed to enable the monitoring, analysis, investigation, and reporting of unlawful or unauthorized system activity.",Met,Strong,CC7.1,log_aggregator,Centralized logging with completeness metrics; audit records retained per policy via log sink validation.,Security Engineering
3.3.2,Audit and Accountability,User Accountability,"Ensure that the actions of individual system users can be uniquely traced to those users, so they can be held accountable for their actions.",Met,Strong,CC7.1,log_aggregator,Unique user attribution verified through IAM identity linkage in audit log exports.,Security Engineering
3.3.5,Audit and Accountability,Audit Correlation and Reporting,"Correlate audit record review, analysis, and reporting processes for investigation and response to indications of unlawful, unauthorized, suspicious, or unusual activity.",Met,Adequate,CC7.2,log_aggregator,Log aggregation enables correlation of security events; SIEM rule documentation maintained separately.,Security Engineering
3.3.8,Audit and Accountability,Protect Audit Information,"Protect audit information and audit logging tools from unauthorized access, modification, and deletion.",Met,Strong,CC7.1,log_aggregator,Log bucket encryption and access policies validated; tamper-evident storage enforced.,Security Engineering
3.4.1,Configuration Management,Baseline Configuration and Inventory,"Establish and maintain baseline configurations and inventories of organizational systems (including hardware, software, firmware, and documentation) throughout the respective system development life cycles.",Met,Adequate,CC8.1,config_drift,Infrastructure configuration snapshots establish baseline; drift detection surfaces unauthorized changes.,Platform Engineering
3.4.2,Configuration Management,Security Configuration Settings,Establish and enforce security configuration settings for information technology products employed in organizational systems.,Met,Strong,CC8.1,config_drift,"Security configuration settings (MFA, TLS, encryption) continuously validated against hardened baselines.",Platform Engineering
3.4.3,Configuration Management,Change Tracking and Approval,"Track, review, approve or disapprove, and log changes to organizational systems.",Met,Adequate,CC8.1,config_drift,Configuration changes detected via drift monitoring; CAB tickets required for production changes.,Platform Engineering
3.5.1,Identification and Authentication,User and Device Identification,"Identify system users, processes acting on behalf of users, and devices.",Met,Strong,CC6.1,iam_access_review,"User, service account, and device identity inventory exported and reconciled quarterly.",Security Engineering
3.5.2,Identification and Authentication,User and Device Authentication,"Authenticate (or verify) the identities of users, processes, or devices, as a prerequisite to allowing access to organizational systems.",Met,Strong,CC6.2,config_drift,Authentication mechanisms validated; SSO and federation configuration monitored for drift.,Security Engineering
3.5.3,Identification and Authentication,Multifactor Authentication,Use multifactor authentication for local and network access to privileged accounts and for network access to non-privileged accounts.,Met,Strong,CC6.2,config_drift,MFA enforcement percentage tracked across human and privileged accounts; gaps flagged automatically.,Security Engineering
3.5.10,Identification and Authentication,Cryptographically Protected Passwords,Store and transmit only cryptographically-protected passwords.,Met,Adequate,CC6.2,config_drift,Password storage and transmission validated via TLS and identity provider configuration checks.,Security Engineering
3.8.9,Media Protection,Backup CUI Protection,Protect the confidentiality of backup CUI at storage locations.,Met,Strong,C1.2,encryption_status; retention_check,Backup storage encryption validated; retention policies enforced on backup buckets.,Platform Engineering
3.12.1,Security Assessment,Security Control Assessment,Periodically assess the security controls in organizational systems to determine if the controls are effective in their application.,Met,Adequate,CC7.2,self_assessment_report,Monthly self-assessment report scores control effectiveness from automated evidence collection.,Compliance
3.13.8,System and Communications Protection,Cryptographic Protection in Transit,Implement cryptographic mechanisms to prevent unauthorized disclosure of CUI during transmission unless otherwise protected by alternative physical safeguards.,Met,Strong,C1.3,encryption_status; config_drift,TLS 1.2+ enforced on public endpoints; weak cipher configurations flagged by drift scanner.,Platform Engineering
3.13.11,System and Communications Protection,FIPS-Validated Cryptography,Employ FIPS-validated cryptography when used to protect the confidentiality of CUI.,Met,Strong,C1.2,encryption_status,FIPS-validated encryption algorithms verified on storage and KMS configurations.,Platform Engineering
3.13.16,System and Communications Protection,CUI at Rest Protection,Protect the confidentiality of CUI at rest.,Met,Strong,C1.2,encryption_status,"Encryption-at-rest posture validated across S3, RDS, EBS, and managed database services.",Platform Engineering
3.14.6,System and Information Integrity,System Monitoring,"Monitor organizational systems, including inbound and outbound communications traffic, for unusual or unauthorized activities or conditions.",Met,Strong,CC7.1,log_aggregator,Inbound/outbound traffic monitoring via VPC flow logs and centralized log completeness checks.,Security Engineering
3.14.7,System and Information Integrity,Identify Unauthorized Use,Identify unauthorized use of organizational systems.,Met,Strong,CC7.1,log_aggregator,Unauthorized access patterns detected through audit log analysis and anomaly alerting.,Security Engineering
