Control ID,Category,Control Name,Description,Policy Version,Status,Automation Script,Owner,NIST / CMMC Mapping,CMMC L2 Status,C3PAO Status,Implementation Statement
CC6.1,Security,Logical Access Provisioning,"Controls provisioning, modification, and removal of access to protected assets",Access Control Policy v2.3,Green,iam_access_review.py,,AC-2 Account Management; AC-3 Access Enforcement; AC-6 Least Privilege; IA-2,Met,Ready,Quarterly IAM reviews executed with automated orphaned account detection via Sentinel.
CC6.2,Security,Authentication & Authorization,Authentication mechanisms and authorization controls enforce least privilege,Authentication & Access Policy v2.1,Green,config_drift.py,,IA-2 Identification and Authentication; IA-5 Authenticator Management,Met,Ready,MFA enforced for workforce accounts; config drift monitored continuously.
CC6.3,Security,Privileged Access Management,Controls over privileged access including monitoring and review,Privileged Access Policy v2.2,Green,iam_access_review.py (privileged filter),,AC-2(3) Privileged Accounts; AC-6 Least Privilege,Met,Ready,Privileged access reviewed quarterly with automated export.
CC7.1,Security,System Monitoring,Detection and monitoring procedures to identify anomalies and control failures,System Monitoring Policy v2.0,Green,log_aggregator.py,,AU-2; AU-3; AU-6; SI-4 System Monitoring,Met,Ready,Centralized logging with completeness checks via Sentinel log aggregator.
CC7.2,Security,Control Effectiveness Monitoring,Ongoing monitoring of operation and effectiveness of controls,Monitoring & Alerting Policy,Green,log_aggregator.py,,SI-4 System Monitoring; CA-2 Control Assessments,Met,Ready,Control effectiveness tracked via monitoring metrics and exceptions.
CC8.1,Security,Change Management,"Controls over changes to systems, infrastructure, and data",Change Management Policy v2.4,Green,config_drift.py,,CM-3 Configuration Change Control; CM-4 Impact Analysis,POA&M,Minor Gap,Changes tracked via ticketing; config drift monitored for unauthorized changes.
CC9.1,Security,Risk Assessment & Mitigation,"Identification, assessment, and mitigation of risks to objectives",Risk Management Policy v2.1,Green,Manual import,,RA-5 Vulnerability Monitoring and Scanning (partial),POA&M,Minor Gap,Annual risk assessment maintained; vulnerability scanning on roadmap.
CC6.6,Security,Data Classification & Handling,Controls to identify and protect confidential information,Data Classification Policy v2.0,Green,encryption_status.py + manual inventory,,AC-4 Information Flow Enforcement; MP-2 Media Access,Met,Ready,Data inventory maintained; encryption status validates protected stores.
A1.2,Availability,Backup & Recovery,Controls to ensure backups and recovery procedures meet availability objectives,Backup & Recovery Policy v2.2,Green,log_aggregator.py (backup events),,CP-9 Information System Backup; CP-10 Recovery (partial),POA&M,Minor Gap,Backups automated; restore testing documented quarterly.
A1.3,Availability,System Resilience,Controls to protect against and recover from failures,Business Continuity Policy,Green,config_drift.py,,CP-10 Recovery; SI-4 (partial),Met,Ready,Resilience tested quarterly; infrastructure drift monitored.
C1.1,Confidentiality,Protection of Confidential Information,"Confidential information protected from unauthorized access, use, and disclosure",Data Classification Policy v2.1 + Access Control Policy v2.3,Green,encryption_status.py + log_aggregator.py,,AC-3; AC-4; SC-16 Transmission of Security Attributes,Met,Ready,Classification inventory linked to encryption and access evidence.
C1.2,Confidentiality,Encryption of Confidential Information,Confidential information encrypted in transit and at rest using approved methods,Encryption & Key Management Policy v2.3,Green,encryption_status.py,,SC-8; SC-13 Cryptographic Protection; SC-28 Protection at Rest,Met,Ready,Encryption posture validated continuously via Sentinel encryption_status collector.
C1.3,Confidentiality,Secure Data Transmission,Confidential information transmitted only over secure channels,Secure Transmission Policy v2.1,Green,config_drift.py,,SC-8 Transmission Confidentiality and Integrity,Met,Ready,TLS configuration monitored; weak cipher endpoints flagged.
C1.4,Confidentiality,Secure Disposal of Confidential Information,Confidential information securely disposed when no longer required,Data Retention & Disposal Policy v2.2,Green,retention_check.py,,MP-7 Media Sanitization,Met,Ready,Lifecycle and retention rules validated via retention_check collector.
