Control ID,TSC Category,Control Name,Description,Related Policy,Key Evidence,Automation Hook,Frequency,Dashboard Status Logic,Defense Notes,NIST 800-171 Mapping,CUI Scope,SSP Section Reference,800-171 Family,C3PAO Status,Implementation Statement,CMMC L2 Status,Evidence Strength
CC6.1,Security,Logical Access Provisioning,"Controls provisioning, modification, and removal of access to protected assets",Access Control Policy v2.3,Current user list + approval records + deprovision logs,iam_access_review.py,Quarterly,Green if review <90 days AND orphaned accounts <3; Yellow 3-7; Red >7 or overdue,Map to NIST AC-2/AC-6. Flag CUI-linked service accounts.,AC-2 Account Management; AC-3 Access Enforcement; AC-6 Least Privilege; IA-2,Yes,AC-2,AC,Ready,Quarterly IAM reviews executed with automated orphaned account detection via Sentinel.,Met,Strong
CC6.2,Security,Authentication & Authorization,Authentication mechanisms and authorization controls enforce least privilege,Authentication & Access Policy v2.1,MFA enforcement report + password policy config + RBAC matrix,config_drift.py,Continuous,Green if MFA enforced on 100% of human accounts,Align with CMMC Level 2. Hardware MFA for admins recommended.,IA-2 Identification and Authentication; IA-5 Authenticator Management,Yes,IA-2,IA,Ready,MFA enforced for workforce accounts; config drift monitored continuously.,Met,Strong
CC6.3,Security,Privileged Access Management,Controls over privileged access including monitoring and review,Privileged Access Policy v2.2,Privileged user list + session recordings + justification docs,iam_access_review.py (privileged filter),Quarterly,Green if all privileged accounts reviewed; no standing admin without break-glass,Break-glass accounts require dual control and 24h audit trail.,AC-2(3) Privileged Accounts; AC-6 Least Privilege,Yes,AC-2(3),AC,Ready,Privileged access reviewed quarterly with automated export.,Met,Strong
CC7.1,Security,System Monitoring,Detection and monitoring procedures to identify anomalies and control failures,System Monitoring Policy v2.0,Log completeness report + alert coverage + retention verification,log_aggregator.py,Continuous,Green if >95% critical events logged and retained 1yr+; no gaps >24h,CloudTrail + VPC flow logs required for production.,AU-2; AU-3; AU-6; SI-4 System Monitoring,Yes,AU-2,AU,Ready,Centralized logging with completeness checks via Sentinel log aggregator.,Met,Strong
CC7.2,Security,Control Effectiveness Monitoring,Ongoing monitoring of operation and effectiveness of controls,Monitoring & Alerting Policy,Control performance metrics + exception reports,log_aggregator.py,Continuous,Green if zero critical control failures in last 30 days,Track failed auth on CUI data stores.,SI-4 System Monitoring; CA-2 Control Assessments,Yes,SI-4,SI,Ready,Control effectiveness tracked via monitoring metrics and exceptions.,Met,Adequate
CC8.1,Security,Change Management,"Controls over changes to systems, infrastructure, and data",Change Management Policy v2.4,Change tickets + approvals + rollback test results,config_drift.py,Per change,Green if all production changes have ticket + approval + tested rollback,CAB required for customer data changes.,CM-3 Configuration Change Control; CM-4 Impact Analysis,Yes,CM-3,CM,Minor Gap,Changes tracked via ticketing; config drift monitored for unauthorized changes.,POA&M,Adequate
CC9.1,Security,Risk Assessment & Mitigation,"Identification, assessment, and mitigation of risks to objectives",Risk Management Policy v2.1,Risk register + mitigation plans + residual risk sign-off,Manual import,Annual,Green if risk assessment <6mo old and high risks have active mitigation,Include supply-chain risk for CUI vendors.,RA-5 Vulnerability Monitoring and Scanning (partial),No,RA-5,RA,Minor Gap,Annual risk assessment maintained; vulnerability scanning on roadmap.,POA&M,Weak
CC6.6,Security,Data Classification & Handling,Controls to identify and protect confidential information,Data Classification Policy v2.0,Data inventory + classification labels + access restrictions,encryption_status.py + manual inventory,Quarterly,Green if all CUI data classified and access restricted,Explicit CUI marking and flow controls per NIST 800-171.,AC-4 Information Flow Enforcement; MP-2 Media Access,Yes,AC-4,AC,Ready,Data inventory maintained; encryption status validates protected stores.,Met,Adequate
A1.2,Availability,Backup & Recovery,Controls to ensure backups and recovery procedures meet availability objectives,Backup & Recovery Policy v2.2,Backup logs + restore test results + RTO/RPO evidence,log_aggregator.py (backup events),Weekly backup; Quarterly restore test,Green if last restore test successful within SLA,Restore tests must include CUI data scope.,CP-9 Information System Backup; CP-10 Recovery (partial),Yes,CP-9,CP,Minor Gap,Backups automated; restore testing documented quarterly.,POA&M,Adequate
A1.3,Availability,System Resilience,Controls to protect against and recover from failures,Business Continuity Policy,Failover test results + capacity monitoring,config_drift.py,Quarterly,Green if failover test passed in last 90 days,Documented DR for customer-facing services.,CP-10 Recovery; SI-4 (partial),Yes,CP-10,CP,Ready,Resilience tested quarterly; infrastructure drift monitored.,Met,Adequate
